,ID,Player Name,Drafting Team,Franchise current name,NBA profile,College / High School,Age at Draft,League before Draft,Draft Year,Pick Number,Position,Height,Weight,Nationality,Continent,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive Selections,Finals MVP Awards,Hall of Fame Inductee,Reason no stats
349,350,Gary Cole,Cleveland Cavaliers,Cleveland Cavaliers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5200:gary-cole&catid=80&Itemid=342,Wisconsin-Parkside,22.4,College,1976,50,Forward,2.05,95.0,USA,USA,1954-02-10,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,31.0,,20.9,52.6,,73.9,10.5,,,,,0,0,0,0,0,
350,351,Kent Benson,Milwaukee Bucks,Milwaukee Bucks,/stats/player/76154/,Indiana,22.5,College,1977,1,Center,2.08,107.0,USA,USA,1954-12-27,680.0,434.0,23.1,9.1,3.8,7.7,49.3,0.0,,,1.5,2.0,75.7,5.7,1.8,0.9,0.9,1.6,29.0,14.9,4.7,1.9,4.0,48.3,0.0,,,0.9,1.2,69.4,3.2,0.5,0.6,0.5,0.6,0.0,23.0,,19.8,50.3,,75.0,10.5,1.3,,,,0,0,0,0,0,
351,352,Otis Birdsong,Kansas City Kings,Sacramento Kings,/stats/player/76170/,Houston,21.6,College,1977,2,Guard,1.90,86.0,USA,USA,1955-12-09,696.0,567.0,31.1,18.0,7.7,15.2,50.6,0.1,,,2.6,3.9,65.5,3.0,3.2,1.2,0.2,2.1,35.0,31.9,15.6,6.6,13.8,48.0,0.0,,,2.3,4.0,58.3,3.0,3.0,1.6,0.1,2.0,4.0,36.0,,30.3,56.9,,74.7,4.4,3.7,,,,0,1,0,0,0,
352,353,Marques Johnson,Milwaukee Bucks,Milwaukee Bucks,/stats/player/77160/,California-Los Angeles,21.4,College,1977,3,Forward,2.00,99.0,USA,USA,1956-02-08,691.0,668.0,34.3,20.1,8.3,16.0,51.8,0.0,,,3.5,4.7,73.9,7.0,3.6,1.3,0.8,2.4,54.0,37.0,21.5,8.7,17.9,48.9,0.1,,,4.0,5.8,70.1,7.9,3.7,1.0,0.8,2.1,5.0,27.0,,21.4,59.1,,62.1,11.1,2.0,,,,0,3,0,0,0,
353,354,Greg Ballard,Washington Bullets,Washington Wizards,/stats/player/76091/,Oregon,22.4,College,1977,4,Forward,2.00,98.0,USA,USA,1955-01-29,802.0,478.0,27.5,12.4,5.3,11.1,47.2,0.1,,,1.8,2.3,78.7,6.1,2.2,1.1,0.3,1.3,65.0,20.1,7.4,2.8,6.5,43.3,0.1,,,1.7,2.2,79.3,5.0,1.6,0.8,0.2,1.2,0.0,29.0,,21.7,52.7,,85.5,9.7,,,,,0,0,0,0,0,
354,355,Walter Davis,Phoenix Suns,Phoenix Suns,/stats/player/1453/,North Carolina,22.8,College,1977,5,Guard,1.98,87.0,USA,USA,1954-09-09,1033.0,682.0,27.9,18.9,7.9,15.4,51.1,0.2,,,3.0,3.6,85.1,3.0,3.8,1.2,0.1,2.5,78.0,27.6,18.6,7.6,15.3,49.6,0.1,,,3.4,4.1,83.0,3.1,4.0,1.1,0.2,2.4,6.0,32.0,,15.5,57.8,,77.8,5.7,3.3,,,,0,2,0,0,0,
355,356,Kenny Carr,Los Angeles Lakers,Los Angeles Lakers,/stats/player/76350/,North Carolina State,21.9,College,1977,6,Forward,2.00,100.0,USA,USA,1955-08-15,674.0,331.0,25.5,11.6,4.5,8.9,51.0,0.0,,,2.5,3.7,68.4,7.4,1.4,0.7,0.4,2.1,35.0,22.1,10.5,4.4,8.5,51.2,0.0,,,1.8,2.4,72.9,6.6,1.1,0.5,0.3,1.9,0.0,28.0,,21.0,49.3,,64.6,9.9,1.7,,,,0,0,0,0,0,
356,357,Bernard King,New Jersey Nets,Brooklyn Nets,/stats/player/77264/,Tennessee,20.6,College,1977,7,Forward,2.00,93.0,USA,USA,1956-12-04,874.0,795.0,33.7,22.5,9.0,17.3,51.8,0.0,,,4.5,6.2,73.0,5.8,3.3,1.0,0.3,3.2,28.0,31.0,24.5,9.6,17.2,55.9,0.0,,,5.3,7.3,72.9,4.3,2.3,0.9,0.2,2.2,4.0,26.0,,25.8,57.8,,71.2,14.3,3.1,,,,0,4,0,0,1,
357,358,Jack Sikma,Seattle SuperSonics,Oklahoma City Thunder,/stats/player/78149/,Illinois Wesleyan,21.6,College,1977,8,Center,2.11,104.0,USA,USA,1955-11-14,1107.0,739.0,33.4,15.6,5.8,12.5,46.4,0.2,,,3.9,4.6,84.9,9.8,3.2,1.0,0.9,2.3,102.0,34.8,14.3,5.5,12.2,44.5,0.1,,,3.3,4.0,83.0,9.3,2.4,1.0,0.8,2.0,7.0,31.0,,27.0,52.8,,80.4,15.4,,,,,0,0,1,0,1,
358,359,Tom LaGarde,Denver Nuggets,Denver Nuggets,/stats/player/77328/,North Carolina,22.4,College,1977,9,Center,2.08,100.0,USA,USA,1955-02-10,312.0,28.0,19.9,7.6,2.8,6.0,46.2,0.0,,,2.0,3.2,64.0,5.1,1.5,0.3,0.4,1.7,23.0,10.4,3.0,1.2,2.8,41.5,0.0,,,0.6,0.8,77.8,2.5,0.8,0.1,0.1,0.7,0.0,20.0,,15.1,59.3,,78.2,7.5,1.0,,,,0,0,0,0,0,
359,360,Ray Williams,New York Knicks,New York Knicks,/stats/player/78571/,Minnesota,22.7,College,1977,10,Guard,1.88,95.0,USA,USA,1954-10-14,655.0,240.0,28.2,15.5,6.0,13.4,45.1,0.1,,,3.3,4.1,80.2,3.6,5.8,1.8,0.3,3.2,40.0,22.2,10.6,4.2,10.3,40.3,0.2,,,2.2,2.7,81.1,2.8,5.1,1.1,0.1,2.7,0.0,27.0,,18.0,47.3,,78.9,7.5,,,,,0,0,0,0,0,
360,361,Ernie Grunfeld,Milwaukee Bucks,Milwaukee Bucks,/stats/player/76899/,Tennessee,22.2,College,1977,11,Guard,1.98,95.0,USA,USA,1955-04-24,693.0,17.0,18.6,7.4,3.0,6.2,47.7,0.0,,,1.4,1.8,77.0,2.6,2.0,0.7,0.2,1.2,42.0,21.3,8.9,3.5,7.1,48.8,0.0,,,1.9,2.3,82.7,2.2,2.9,1.0,0.3,1.5,0.0,28.0,,23.8,53.6,,79.3,6.3,2.7,,,,0,0,0,0,0,
361,362,Cedric Maxwell,Boston Celtics,Boston Celtics,/stats/player/77487/,North Carolina-Charlotte,21.6,College,1977,12,Forward,2.03,93.0,USA,USA,1955-11-21,835.0,538.0,28.5,12.5,4.1,7.5,54.6,0.0,,,4.3,5.5,78.4,6.3,2.2,0.8,0.5,2.2,102.0,24.8,10.9,3.7,6.7,54.5,0.0,0.0,0.0,3.6,4.6,77.7,5.4,1.9,0.7,0.5,1.7,0.0,31.0,,22.3,64.0,,76.8,12.1,2.0,,,,0,0,0,1,0,
362,363,Tate Armstrong,Chicago Bulls,Chicago Bulls,/stats/player/76059/,Duke,21.8,College,1977,13,Guard,1.90,79.0,USA,USA,1955-10-05,92.0,,10.6,3.8,1.7,3.8,45.4,,,,0.3,0.4,80.0,1.0,1.1,0.4,0.0,0.9,0.0,,,,,,,,,,,,,,,,,0.0,14.0,,22.7,55.5,,78.0,2.9,3.9,,,,0,0,0,0,0,
363,364,Tree Rollins,Atlanta Hawks,Atlanta Hawks,/stats/player/78014/,Clemson,22.1,College,1977,14,Center,2.16,107.0,USA,USA,1955-06-16,1156.0,599.0,20.8,5.4,2.2,4.3,52.2,0.0,,,0.9,1.3,70.0,5.8,0.6,0.4,2.2,0.9,93.0,18.7,3.9,1.6,3.1,50.5,0.0,,,0.7,1.2,62.4,4.6,0.3,0.4,1.4,0.8,0.0,28.0,,14.1,58.0,,63.2,12.8,1.1,,,,0,0,2,0,0,
364,365,Brad Davis,Los Angeles Lakers,Los Angeles Lakers,/stats/player/76516/,Maryland,21.6,College,1977,15,Guard,1.90,92.0,USA,USA,1955-12-17,961.0,426.0,23.2,8.2,3.1,6.1,51.0,0.3,,,1.7,2.1,82.8,1.8,4.9,0.8,0.2,1.4,45.0,21.1,7.6,2.8,5.2,53.0,0.3,0.7,43.8,1.7,2.0,84.6,1.7,3.7,0.4,0.1,1.6,0.0,27.0,,12.4,51.2,,78.4,3.4,4.9,,,,0,0,0,0,0,
365,366,Rickey Green,Golden State Warriors,Golden State Warriors,/stats/player/76874/,Michigan,22.9,College,1977,16,Guard,1.83,77.0,USA,USA,1954-08-18,946.0,580.0,24.6,9.4,3.8,8.1,46.9,0.0,,,1.7,2.2,80.7,1.9,5.5,1.4,0.1,1.7,55.0,23.2,8.8,3.5,7.7,45.5,0.1,0.4,35.0,1.7,2.0,84.7,1.9,5.3,0.9,0.1,1.5,1.0,28.0,,19.5,48.3,,76.6,2.9,4.3,,,,0,0,0,0,0,
366,367,Bo Ellis,Washington Bullets,Washington Wizards,/stats/player/76664/,Marquette,22.9,College,1977,17,Forward,2.06,89.0,USA,USA,1954-08-08,168.0,,11.8,3.6,1.4,3.3,43.1,0.0,,,0.8,1.1,73.1,2.9,0.7,0.4,0.5,0.9,15.0,12.9,3.5,1.3,3.1,41.3,,,,0.9,1.1,82.4,3.1,0.6,0.5,0.6,0.9,0.0,32.0,,15.6,50.7,,75.2,8.3,2.0,,,,0,0,0,0,0,Too many results
367,368,Wesley Cox,Golden State Warriors,Golden State Warriors,/stats/player/76465/,Louisville,22.4,College,1977,18,Forward,1.98,98.0,USA,USA,1955-01-27,74.0,,11.0,4.6,1.6,4.0,41.2,,,,1.3,2.6,51.0,2.8,0.3,0.5,0.2,1.1,0.0,,,,,,,,,,,,,,,,,0.0,28.0,,16.5,55.3,,61.2,8.0,2.1,,,,0,0,0,0,0,
368,369,Rich Laurel,Portland Trail Blazers,Portland Trail Blazers,/stats/player/77344/,Hofstra,23.0,College,1977,19,Guard,1.98,86.0,USA,USA,1954-07-11,10.0,,5.7,2.4,1.0,3.1,32.3,,,,0.4,0.4,100.0,1.0,0.3,0.3,0.1,0.4,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,30.3,53.5,,80.8,7.7,2.8,,,,0,0,0,0,0,
369,370,Glenn Mosley,Philadelphia 76ers,Philadelphia 76ers,/stats/player/77653/,Seton Hall,21.5,College,1977,20,Forward,2.03,88.0,USA,USA,1955-12-26,32.0,,7.6,3.1,1.1,2.8,40.9,,,,0.8,1.4,57.8,2.2,0.7,0.3,0.3,0.8,3.0,2.0,1.7,0.7,1.0,66.7,,,,0.3,1.0,33.3,0.3,0.3,0.0,0.3,0.0,0.0,29.0,,20.0,52.2,,60.8,16.3,2.1,,,,0,0,0,0,0,
370,371,Anthony Roberts,Denver Nuggets,Denver Nuggets,/stats/player/77975/,Oral Roberts,22.2,College,1977,21,Forward,1.96,84.0,USA,USA,1955-04-15,213.0,0.0,18.2,7.8,3.2,7.7,41.2,0.0,,,1.4,2.0,69.9,3.9,1.2,0.4,0.1,1.2,16.0,30.0,15.3,6.2,14.5,42.7,,,,2.9,3.8,77.0,7.6,2.3,0.8,0.4,1.9,0.0,28.0,,34.0,54.4,,79.9,9.2,,,,,0,0,0,0,0,
371,372,Norm Nixon,Los Angeles Lakers,Los Angeles Lakers,/stats/player/77721/,Duquesne,21.7,College,1977,22,Guard,1.88,77.0,USA,USA,1955-10-11,768.0,416.0,35.5,15.7,6.8,14.1,48.3,0.1,,,2.0,2.6,77.2,2.6,8.3,1.5,0.1,3.1,58.0,35.5,17.7,7.6,15.9,47.8,0.1,,,2.4,3.2,76.3,3.4,8.0,1.5,0.1,2.6,2.0,30.0,,22.0,51.8,,74.6,4.0,5.9,,,,0,0,0,0,0,
372,373,Mike Glenn,Chicago Bulls,Chicago Bulls,/stats/player/76822/,Southern Illinois,21.8,College,1977,23,Guard,1.88,79.0,USA,USA,1955-09-10,593.0,10.0,16.2,7.6,3.3,6.1,54.2,0.0,,,1.0,1.1,85.5,1.2,1.6,0.5,0.1,0.7,22.0,12.0,4.4,1.8,3.9,45.3,0.0,0.1,0.0,0.9,1.0,90.5,1.2,0.9,0.4,0.0,0.7,0.0,29.0,,21.0,58.2,,93.0,2.8,2.9,,,,0,0,0,0,0,
373,374,Larry Johnson,Buffalo Braves,Los Angeles Clippers,/stats/player/77156/,Kentucky,22.6,College,1977,24,Guard,1.90,95.0,USA,USA,1954-11-28,4.0,,9.5,1.5,0.8,3.3,23.1,,,,0.0,0.5,0.0,1.3,1.8,1.3,0.5,0.8,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,10.7,47.3,,69.3,4.1,4.8,,,,0,0,0,0,0,
374,375,Wilson Washington,Philadelphia 76ers,Philadelphia 76ers,/stats/player/78471/,Old Dominion,21.9,College,1977,25,Forward,2.05,103.0,USA,USA,1955-08-03,100.0,,17.0,7.3,3.2,6.4,49.7,,,,1.0,1.6,60.5,4.5,0.6,0.5,1.0,1.6,0.0,,,,,,,,,,,,,,,,,0.0,29.0,,18.0,59.1,,64.3,11.4,,,,,0,0,0,0,0,
375,376,Glen Gondrezick,New York Knicks,New York Knicks,/stats/player/76830/,Nevada-Las Vegas,21.8,College,1977,26,Forward,1.98,99.0,USA,USA,1955-08-30,435.0,2.0,17.3,5.8,2.3,4.8,47.3,0.0,,,1.3,1.9,72.4,4.5,1.4,1.1,0.3,1.0,15.0,9.3,3.9,1.7,3.9,43.1,0.0,,,0.5,0.9,61.5,3.0,1.3,0.5,0.1,0.5,0.0,32.0,,14.6,50.3,,73.4,10.8,2.3,,,,0,0,0,0,0,
376,377,Glenn Williams,Milwaukee Bucks,Milwaukee Bucks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1323:glenn-williams&catid=79&Itemid=342,St. John's (NY),23.2,College,1977,27,Guard,1.90,86.0,US Virgin Islands,America,1954-04-25,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,31.0,,21.5,51.0,,79.7,3.3,3.3,,,,0,0,0,0,0,
377,378,Kim Anderson,Portland Trail Blazers,Portland Trail Blazers,/stats/player/76041/,Missouri,22.2,International League,1977,28,Forward,2.00,91.0,USA,USA,1955-05-12,21.0,,10.7,3.0,1.1,3.7,31.2,,,,0.7,1.3,53.6,2.1,0.7,0.2,0.2,1.0,0.0,,,,,,,,,,,,,,,,,0.0,28.0,,18.3,54.8,,69.4,7.9,,,,,0,0,0,0,0,
378,379,Alonzo Bradley,Indiana Pacers,Indiana Pacers,/stats/player/76229/,Texas Southern,23.7,College,1977,29,Forward,1.98,86.0,USA,USA,1953-10-16,99.0,,11.5,4.4,1.9,4.4,41.8,0.0,,,0.7,1.0,70.3,1.5,0.7,0.2,0.1,0.8,5.0,3.2,3.2,1.2,1.8,66.7,0.2,,,0.6,1.0,60.0,0.6,0.2,0.2,0.0,0.0,0.0,36.0,,23.7,57.1,,76.4,8.3,,,,,0,0,0,0,0,
379,380,Steve Sheppard,Chicago Bulls,Chicago Bulls,/stats/player/78135/,Maryland,23.3,College,1977,30,Forward,1.98,98.0,USA,USA,1954-03-21,106.0,,9.2,3.5,1.5,3.2,45.9,,,,0.5,0.8,63.3,1.7,0.6,0.2,0.0,0.7,0.0,,,,,,,,,,,,,,,,,0.0,19.0,,16.3,49.0,,74.7,6.3,1.8,,,,0,0,0,0,0,
380,381,Eddie Owens,Kansas City Kings,Sacramento Kings,/stats/player/77782/,Nevada-Las Vegas,23.5,College,1977,31,Forward,2.00,95.0,USA,USA,1953-12-26,8.0,,7.9,2.6,1.1,2.6,42.9,,,,0.4,0.8,50.0,1.3,0.6,0.1,0.0,0.4,0.0,,,,,,,,,,,,,,,,,0.0,32.0,,21.8,52.0,,82.9,5.6,2.1,,,,0,0,0,0,0,
381,382,Toby Knight,New York Knicks,New York Knicks,/stats/player/77289/,Notre Dame,22.2,College,1977,32,Forward,2.05,95.0,USA,USA,1955-05-03,283.0,0.0,25.9,12.9,5.7,10.9,51.9,0.0,,,1.5,2.1,74.0,5.1,1.2,0.9,0.7,1.6,6.0,8.0,2.7,1.0,3.3,30.0,,,,0.7,1.3,50.0,3.2,0.2,0.2,0.7,0.5,0.0,29.0,,15.2,56.5,,71.3,10.5,,,,,0,0,0,0,0,
382,383,Eddie Jordan,Cleveland Cavaliers,Cleveland Cavaliers,/stats/player/77205/,Rutgers,22.4,College,1977,33,Guard,1.85,77.0,USA,USA,1955-01-29,420.0,0.0,20.3,8.1,3.2,7.8,41.4,0.1,,,1.7,2.2,76.3,1.9,3.8,1.8,0.2,2.1,7.0,13.3,5.4,2.1,5.7,37.5,0.0,,,1.1,1.3,88.9,2.1,3.3,1.4,0.4,1.0,0.0,28.0,,17.7,46.0,,68.2,4.4,7.2,,,,0,0,0,0,0,Incorrect name
383,384,Larry Moffett,Houston Rockets,Houston Rockets,/stats/player/77621/,Nevada-Las Vegas,22.7,College,1977,34,Forward,2.03,95.0,USA,USA,1954-11-05,20.0,,5.5,0.8,0.3,0.9,29.4,,,,0.3,0.5,60.0,1.1,0.4,0.1,0.1,0.4,0.0,,,,,,,,,,,,,,,,,0.0,32.0,,8.0,54.2,,46.3,9.2,0.7,,,,0,0,0,0,0,
384,385,Mark Landsberger,Chicago Bulls,Chicago Bulls,/stats/player/77334/,Arizona State,22.1,College,1977,35,Forward,2.03,98.0,USA,USA,1955-05-21,437.0,5.0,16.7,5.6,2.3,4.9,48.1,0.0,,,1.0,1.8,52.2,6.1,0.5,0.3,0.2,1.1,41.0,9.5,2.3,1.0,2.8,36.8,0.0,0.0,0.0,0.3,0.5,60.0,3.7,0.2,0.1,0.1,0.5,0.0,25.0,,17.2,50.4,,57.4,14.4,,,,,0,0,0,0,0,
385,386,Ben Poquette,Detroit Pistons,Detroit Pistons,/stats/player/77873/,Central Michigan,22.2,College,1977,36,Forward,2.05,107.0,USA,USA,1955-05-07,718.0,121.0,22.0,6.8,2.8,5.7,48.3,0.0,,,1.3,1.7,77.9,5.2,1.2,0.5,1.1,1.0,4.0,22.8,7.5,3.3,5.3,61.9,0.0,0.0,0.0,1.0,1.3,80.0,3.5,0.3,0.5,1.5,1.0,0.0,28.0,,16.5,48.5,,78.0,11.0,,,,,0,0,0,0,0,
386,387,Jeff Wilkins,San Antonio Spurs,San Antonio Spurs,/stats/player/78537/,Illinois State,22.3,College,1977,37,Center,2.11,104.0,USA,USA,1955-03-09,454.0,101.0,22.0,7.9,3.3,7.2,45.9,0.0,0.0,0.0,1.3,1.7,74.3,5.7,1.0,0.4,0.5,1.4,24.0,19.9,8.6,3.4,7.3,46.0,0.0,0.0,0.0,1.8,2.4,77.2,4.8,0.8,0.2,0.5,1.1,0.0,29.0,,21.8,52.8,,71.2,11.1,,,,,0,0,0,0,0,
387,388,Ricky Love,Golden State Warriors,Golden State Warriors,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1417:ricky-love&catid=79&Itemid=342,Alabama-Huntsville,,College,1977,38,Forward,2.03,107.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,29.0,,19.1,58.9,,75.5,9.1,1.5,,,,0,0,0,0,0,
388,389,Phil Walker,Washington Bullets,Washington Wizards,/stats/player/78441/,Millersville,21.3,College,1977,39,Guard,1.90,82.0,USA,USA,1956-03-20,40.0,,9.6,4.5,1.4,4.0,35.4,,,,1.6,2.4,66.7,1.3,1.4,0.4,0.1,1.6,4.0,4.3,1.5,0.3,2.0,12.5,,,,1.0,1.3,80.0,0.5,0.5,0.0,0.0,0.8,0.0,26.0,,26.9,48.4,,75.8,12.2,4.6,,,,0,0,0,0,0,
389,390,Robert Reid,Houston Rockets,Houston Rockets,/stats/player/77936/,St. Mary's (TX),21.8,College,1977,40,Forward,2.03,93.0,USA,USA,1955-08-30,919.0,284.0,27.3,11.4,4.8,10.6,45.8,0.1,,,1.6,2.2,73.2,4.5,2.7,1.1,0.4,1.4,79.0,34.7,13.0,5.4,12.4,43.7,0.1,,,2.0,2.7,72.4,4.9,4.2,1.3,0.5,1.9,0.0,29.0,,16.4,48.4,,72.2,8.4,,,,,0,0,0,0,0,
390,391,T.R. Dunn,Portland Trail Blazers,Portland Trail Blazers,/stats/player/76618/,Alabama,22.4,College,1977,41,Guard,1.93,87.0,USA,USA,1955-02-01,993.0,514.0,23.2,5.1,2.0,4.5,45.7,0.0,,,1.0,1.4,72.5,4.4,1.6,1.3,0.3,0.8,76.0,17.9,3.5,1.4,3.2,44.7,0.0,,,0.6,0.9,69.1,4.2,1.4,1.3,0.2,0.7,0.0,31.0,,13.1,49.0,,70.9,7.1,,,,,0,0,3,0,0,
391,392,Bob Elliott,Philadelphia 76ers,Philadelphia 76ers,/stats/player/76656/,Arizona,21.9,College,1977,42,Center,2.05,102.0,USA,USA,1955-08-18,141.0,,16.5,7.0,2.5,5.1,49.4,0.0,,,1.9,2.9,64.9,3.6,1.4,0.5,0.2,1.7,0.0,,,,,,,,,,,,,,,,,0.0,26.0,,16.5,55.1,,71.2,9.3,,,,,0,0,0,0,0,
392,393,Herm Harris,Philadelphia 76ers,Philadelphia 76ers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1429:herm-harris&catid=79&Itemid=342,Arizona,,College,1977,43,Forward,1.96,91.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,27.0,,20.0,46.1,,76.0,4.0,3.8,,,,0,0,0,0,0,
393,394,Essie Hollis,New Orleans Jazz,Utah Jazz,/stats/player/77044/,St. Bonaventure,22.1,College,1977,44,Forward,1.98,88.0,USA,USA,1955-05-16,25.0,,6.2,2.8,1.2,3.0,40.0,,,,0.4,0.5,75.0,1.8,0.2,0.4,0.0,0.6,0.0,,,,,,,,,,,,,,,,,0.0,25.0,,21.8,54.1,,77.4,10.4,,,,,0,0,0,0,0,
394,395,Bill Paterno,Kansas City Kings,Sacramento Kings,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5187:bill-paterno&catid=79&Itemid=342,Notre Dame,22.3,College,1977,45,Forward,1.96,91.0,USA,USA,1955-03-24,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,29.0,,9.6,44.2,,70.7,4.7,1.4,,,,0,0,0,0,0,
395,396,James Edwards,Los Angeles Lakers,Los Angeles Lakers,/stats/player/229/,Washington,21.6,College,1977,46,Center,2.13,102.0,USA,USA,1955-11-22,1168.0,783.0,24.3,12.7,5.0,10.0,49.5,0.0,,,2.8,4.0,69.8,5.1,1.3,0.4,0.7,1.7,111.0,20.0,9.3,3.6,7.7,46.8,0.0,0.0,0.0,2.1,3.1,68.2,3.2,0.8,0.2,0.4,1.1,0.0,27.0,,20.9,55.2,,64.7,10.4,0.9,,,,0,0,0,0,0,
396,397,Gary Yoder,Milwaukee Bucks,Milwaukee Bucks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5171:gary-yoder&catid=79&Itemid=342,Cincinnati,,College,1977,47,Guard,1.93,84.0,USA,USA,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,30.0,,13.6,49.2,,88.1,3.1,3.9,,,,0,0,0,0,0,
397,398,Sammy Smith,Atlanta Hawks,Atlanta Hawks,/stats/player/78205/,Nevada-Las Vegas,22.5,College,1977,48,Forward,1.93,91.0,USA,USA,1955-01-08,46.0,,13.5,6.8,2.5,6.0,41.9,0.2,,,1.6,1.9,86.2,1.4,1.3,0.7,0.3,0.9,0.0,,,,,,,,,,,,,,,,,0.0,29.0,,14.8,51.5,,82.2,3.0,2.4,,,,0,0,0,0,0,Incorrect name
398,399,Eddie Johnson,Atlanta Hawks,Atlanta Hawks,/stats/player/77144/,Auburn,22.4,College,1977,49,Guard,1.88,79.0,USA,USA,1955-02-24,675.0,232.0,29.6,15.1,5.9,12.5,47.6,0.2,,,3.0,3.8,79.1,2.3,5.1,1.1,0.1,2.5,37.0,23.9,11.9,4.7,9.7,48.5,0.1,,,2.5,3.2,77.8,2.1,4.1,0.8,0.2,1.6,2.0,26.0,,15.6,42.5,,79.0,2.6,5.2,,,,0,0,2,0,0,
399,400,Tony Hanson,New Orleans Jazz,Utah Jazz,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5195:tony-hanson&catid=79&Itemid=342,Connecticut,21.7,College,1977,50,Guard,1.93,93.0,USA,USA,1955-10-20,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,27.0,,26.0,52.3,,75.7,10.5,3.0,,,,0,0,0,0,0,
400,401,Mychal Thompson,Portland Trail Blazers,Portland Trail Blazers,/stats/player/78331/,Minnesota,23.4,College,1978,1,Center,2.08,102.0,USA,USA,1955-01-30,935.0,454.0,29.7,13.7,5.6,11.0,50.4,0.0,,,2.6,4.0,65.5,7.4,2.3,0.7,1.1,2.3,104.0,24.0,10.9,4.3,8.6,50.1,0.0,,,2.3,3.5,64.8,6.0,1.2,0.5,1.0,1.5,0.0,21.0,,22.0,53.6,,63.0,10.9,,,,,0,0,0,0,0,
401,402,Phil Ford,Kansas City Kings,Sacramento Kings,/stats/player/76736/,North Carolina,22.4,College,1978,2,Guard,1.88,79.0,USA,USA,1956-02-09,482.0,184.0,28.0,11.6,4.4,9.5,46.7,0.1,,,2.7,3.3,82.0,1.8,6.4,1.2,0.1,2.8,15.0,31.6,9.1,3.3,9.1,36.5,0.2,,,2.2,3.1,71.7,1.7,5.7,1.5,0.0,2.9,0.0,30.0,,20.8,52.7,,81.0,2.1,5.7,,,,0,1,0,0,0,
402,403,Rick Robey,Indiana Pacers,Indiana Pacers,/stats/player/77984/,Kentucky,22.4,College,1978,3,Center,2.11,104.0,USA,USA,1956-01-30,493.0,42.0,17.9,7.6,3.0,6.1,50.1,0.0,,,1.5,2.3,65.0,4.7,1.2,0.4,0.2,1.6,53.0,12.1,4.1,1.6,3.7,44.8,0.0,0.1,0.0,0.8,1.5,53.8,2.6,0.5,0.2,0.2,0.8,0.0,32.0,,14.4,63.5,,72.3,8.0,1.9,,,,0,0,0,0,0,
403,404,Micheal Ray Richardson,New York Knicks,New York Knicks,/stats/player/77952/,Montana,23.2,College,1978,4,Guard,1.96,86.0,USA,USA,1955-04-11,556.0,276.0,33.4,14.8,6.1,13.5,45.7,0.2,,,2.3,3.4,69.0,5.5,7.0,2.6,0.4,3.3,18.0,40.9,15.7,6.0,15.6,38.6,0.3,1.6,20.7,3.3,4.8,69.0,5.5,7.2,2.8,0.2,2.8,4.0,27.0,,24.2,48.0,,68.6,6.9,,,,,0,0,2,0,0,
404,405,Purvis Short,Golden State Warriors,Golden State Warriors,/stats/player/78139/,Jackson State,21.0,College,1978,5,Forward,2.00,95.0,USA,USA,1957-07-02,842.0,347.0,29.2,17.3,7.0,14.9,47.4,0.1,,,3.1,3.8,82.4,4.3,2.5,1.0,0.2,2.0,18.0,20.1,10.4,4.0,9.4,42.4,0.0,0.3,0.0,2.4,2.7,87.8,2.9,1.7,0.7,0.1,1.4,0.0,22.0,,29.5,53.2,,72.1,11.4,,,,,0,0,0,0,0,
