ID,Player Name,Drafting Team,NBA profile,College / High School,Draft Year,Pick N°,Position,Nationality,Birthdate,GP,GS,MPG,PPG,FGA,FGM,FG%,3PM,3PA,3P%,FTM,FTA,FT%,RPG,APG,SPG,BPG,TOPG,PO GP,PO MPG,PO PPG,PO FGM,PO FGA,PO FG%,PO 3PM,PO 3PA,PO 3P%,PO FTM,PO FTA,PO FT%,PO RPG,PO APG,PO SPG,PO BPG,PO TOPG,All-Star Games,CO GP,CO MPG,CO PPG,CO FG%,CO 3P%,CO FT%,CO RPG,CO APG,CO SPG,CO BPG,CO TOPG,MVP Awards,All-NBA Selections,All-Defensive selections,Finals MVP Awards,Hall of Fame Inductee,Height,Weight,League before Draft,Reason no stats
542,Kimberly Belton,Phoenix Suns,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1561:kimberly-belton&catid=94&Itemid=342,Stanford,1980,42,Small Forward,American,4/12/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,26,NaN,18.7,58.4,NaN,67.8,9.8,N/A,NaN,NaN,NaN,0,0,0,0,0,(1.98m),(102kg),College,
543,Billy Williams,Houston Rockets,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1563:billy-williams&catid=94&Itemid=342,Clemson,1980,43,Shooting Guard,American,9/27/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32,NaN,17.6,53.5,NaN,74.8,3.3,4.0,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(93kg),College,
544,Clyde Austin,Philadelphia 76ers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1565:clyde-austin&catid=94&Itemid=342,North Carolina State,1980,44,Point Guard,American,11/1/1957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,8.9,51.1,NaN,70.0,2.6,3.3,NaN,NaN,NaN,0,0,0,0,0,(1.88m),(68kg),College,
545,Brad Branson,Detroit Pistons,/stats/player/76239/,Southern Methodist,1980,45,| Forward,USA,"Sep 24, 1958",72,5,11.9,5.4,2.1,5.0,42.2,0.0,0.0,0.0,1.2,1.7,72.5,2.9,0.7,0.4,0.4,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,15.7,47.1,NaN,73.0,9.0,N/A,NaN,NaN,NaN,0,0,0,0,0,(2.08m),(100kg),College,
546,Arnette Hallman,Boston Celtics,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1569:arnette-hallman&catid=94&Itemid=342,Purdue,1980,46,Small Forward,American,10/19/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,32,NaN,8.8,43.8,NaN,50.8,5.9,1.1,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(93kg),College,
547,Kurt Nimphius,Denver Nuggets,/stats/player/77719/,Arizona State,1980,47,| Center,USA,"Mar 13, 1958",564,210,20.3,6.4,2.6,5.3,48.7,0.0,0.0,10.0,1.2,1.9,66.8,4.4,1.2,0.3,1.2,1.0,25,12.2,2.8,1.0,2.6,40.0,0.0,0.0,0.0,0.7,0.9,78.3,3.2,0.7,0.1,0.8,0.6,0,29,NaN,16.6,60.9,NaN,71.0,9.6,1.2,NaN,NaN,NaN,0,0,0,0,0,(2.08m),(99kg),College,
548,Eddie Lee,Denver Nuggets,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5006:eddie-lee&catid=94&Itemid=342,Cincinnati,1980,48,Point Guard,American,3/2/1958 - 7/28/2001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,15.6,47.1,NaN,82.7,2.4,5.7,NaN,NaN,NaN,0,0,0,0,0,(1.93m),(82kg),College,
549,John Virgil,Golden State Warriors,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=5023:john-virgil&catid=94&Itemid=342,North Carolina,1980,49,Shooting Guard,American,2/3/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29,NaN,5.8,53.3,NaN,65.7,1.6,0.4,NaN,NaN,NaN,0,0,0,0,0,(1.96m),(84kg),College,
550,James Wilkes,Chicago Bulls,/stats/player/78533/,California-Los Angeles,1980,50,| Forward,USA,"Mar 12, 1958",114,22,13.4,4.8,2.0,4.2,46.3,0.0,0.0,0.0,0.9,1.2,72.3,2.4,0.9,0.5,0.3,0.9,2,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0,32,NaN,8.8,50.2,NaN,65.9,4.8,3 .1,NaN,NaN,NaN,0,0,0,0,0,(2.00m),(88kg),College,
551,Mark Aguirre,Dallas Mavericks,/stats/player/76016/,DePaul,1981,1,| Forward,USA,"Dec 10, 1959",923,639,30.0,20.0,7.8,16.1,48.4,0.4,1.4,31.2,4.0,5.4,74.1,5.0,3.1,0.7,0.3,2.5,102,29.0,17.1,6.8,14.1,48.5,0.4,1.4,31.7,3.0,4.1,74.3,5.3,2.6,0.7,0.2,1.9,3,29,NaN,23.0,58.2,,77.4,8.6,4.5,1.6,0.9,NaN,0,0,0,0,0,(2.00m),(107kg),College,
552,Isiah Thomas,Detroit Pistons,/stats/player/78318/,Indiana,1981,2,| Guard,USA,"Apr 30, 1961",979,971,36.3,19.2,7.3,16.2,45.2,0.4,1.4,29.0,4.1,5.4,75.9,3.6,9.3,1.9,0.3,3.8,111,38.0,20.4,7.4,16.8,44.1,0.7,2.1,34.6,4.8,6.2,76.9,4.7,8.9,2.1,0.3,3.3,11,34,NaN,16.0,55.4, ,74.2,3.1,5.8,2.2,0.1,NaN,5 All-NBA,1 Hall of Fame Inductee,1 NBA Finals Most Valuable Player,0,0,(1.85m),(82kg),College,
553,Buck Williams,New Jersey Nets,/stats/player/433/,Maryland,1981,3,| Forward,USA,"Mar 08, 1960",1307,1140,32.5,12.8,4.9,8.9,54.9,0.0,0.0,16.7,3.0,4.6,66.4,10.0,1.3,0.8,0.8,2.1,108,34.2,11.2,4.0,7.8,52.0,0.0,0.0,50.0,3.1,4.7,67.2,8.7,1.0,0.8,0.6,1.8,3,31,NaN,15.5,64.7,,63.7,11.7,1.0,0.9,0.9,NaN,4 All-Defensive Team,1 All-NBA,0,0,0,(2.03m),(98kg),College,
554,Al Wood,Atlanta Hawks,/stats/player/78610/,North Carolina,1981,4,| Guard,USA,"Jun 02, 1958",417,246,23.8,11.8,4.7,10.2,46.5,0.1,0.5,21.1,2.2,2.7,78.9,3.0,1.8,0.7,0.4,1.4,5,31.4,12.0,5.2,11.2,46.4,0.0,0.2,0.0,1.6,2.4,66.7,6.8,2.0,0.2,0.2,1.4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
555,Danny Vranes,Seattle SuperSonics,/stats/player/78423/,Utah,1981,5,| Forward,USA,"Oct 29, 1958",510,246,20.8,5.1,2.1,4.2,49.6,0.0,0.0,10.5,1.0,1.7,57.0,3.9,1.2,0.7,0.5,1.0,15,13.8,3.4,1.5,4.1,37.7,0.0,0.1,0.0,0.3,0.6,55.6,4.1,0.8,0.3,0.5,0.5,0,30,NaN,17.5,59.5, ,79.6,7.7,1.1,0.9,0.9,NaN,1 All-Defensive Team,0,0,0,0,(2.00m),(95kg),College,
556,Orlando Woolridge,Chicago Bulls,/stats/player/78615/,Notre Dame,1981,6,| Forward,USA,"Dec 16, 1959",851,485,28.3,16.0,6.1,11.8,51.3,0.0,0.1,9.1,3.9,5.3,73.7,4.3,1.9,0.6,0.7,2.1,36,25.1,11.9,4.5,9.1,49.2,0.0,0.1,0.0,2.9,4.1,71.6,3.6,1.2,0.6,0.7,1.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
557,Steve Johnson,Kansas City Kings,/stats/player/77134/,Oregon State,1981,7,| Center,USA,"Nov 03, 1957",626,327,21.8,11.7,4.5,7.9,57.2,0.0,0.0,0.0,2.7,4.2,63.4,5.5,1.2,0.5,0.8,2.4,13,18.9,8.5,2.8,7.0,40.7,0.0,0.0,0.0,2.8,4.5,62.7,4.4,0.5,0.3,0.2,1.5,0,28,NaN,21.0,74.6, ,68.4,7.7,1.8,0.4,1.5,NaN,0,0,0,0,0,(2.08m),(107kg),College,
558,Tom Chambers,San Diego Clippers,/stats/player/1472/,Utah,1981,8,Power Forward,USA,"Jun 21, 1959",1107,743,30.6,18.1,6.7,14.2,46.8,0.2,0.7,30.7,4.6,5.7,80.7,6.1,2.1,0.8,0.6,2.3,108,28.3,15.4,5.6,12.8,44.0,0.3,0.8,30.3,3.9,4.7,82.7,5.3,1.7,0.6,0.6,1.9,4,30,NaN,18.6,59.4,,74.2,8.7,0.8,0.7,0.6,NaN,2 All-NBA,0,0,0,0,(2.05m),(100kg),College,
559,Rolando Blackman,Dallas Mavericks,/stats/player/76176/,Kansas State,1981,9,| Guard,USA,"Feb 26, 1959",980,815,32.7,18.0,7.0,14.3,49.3,0.2,0.7,34.3,3.7,4.4,84.0,3.3,3.0,0.7,0.3,1.9,69,31.0,16.1,6.3,13.0,48.4,0.1,0.4,29.0,3.4,3.9,86.9,2.9,3.1,0.6,0.2,1.8,4,33,NaN,15.0,53.2,,78.3,5.0,3.1,1.1,0.5,NaN,0,0,0,0,0,(1.98m),(86kg),College,
560,Albert King,New Jersey Nets,/stats/player/77263/,Maryland,1981,10,| Forward,USA,"Dec 17, 1959",534,326,24.0,12.1,5.1,11.0,46.1,0.1,0.4,26.8,1.9,2.4,79.1,4.2,2.2,0.8,0.4,2.2,21,29.3,15.6,6.4,14.2,45.3,0.1,0.4,33.3,2.6,3.5,73.0,5.2,2.3,1.2,0.4,2.2,0,31,NaN,18.0,50.2,,81.2,5.7,3.0,0.8,0.4,NaN,0,0,0,0,0,(1.98m),(86kg),College,
561,Frank Johnson,Washington Bullets,/stats/player/77146/,Wake Forest,1981,11,| Guard,USA,"Nov 23, 1958",596,217,21.6,8.3,3.3,7.4,43.9,0.1,0.4,21.8,1.7,2.2,76.0,1.7,4.2,1.0,0.1,1.8,54,14.8,5.4,1.9,4.8,39.7,0.1,0.5,27.6,1.4,1.7,85.7,1.2,2.3,0.6,0.0,1.1,0,29,NaN,16.2,52.1, ,81.9,2.1,6.3,1.8,0.2,NaN,0,0,0,0,0,(1.88m),(84kg),College,
562,Kelly Tripucka,Detroit Pistons,/stats/player/78369/,Notre Dame,1981,12,| Forward,USA,"Feb 16, 1959",707,575,29.6,17.2,6.3,13.3,47.3,0.2,0.7,36.1,4.4,5.2,84.9,3.8,3.0,1.0,0.2,2.4,25,30.0,15.6,5.8,12.6,46.2,0.0,0.2,0.0,4.0,4.7,85.6,3.7,2.3,0.9,0.2,2.4,2,29,NaN,18.2,55.1,,81.5,5.8,2.8,1.1,0.2,NaN,0,0,0,0,0,(1.98m),(104kg),College,
563,Dan Schayes,Utah Jazz,/stats/player/7/,Syracuse,1981,13,| Center,USA,"May 10, 1959",1138,427,19.3,7.7,2.6,5.5,48.1,0.0,0.0,13.3,2.4,3.0,80.6,5.0,1.1,0.5,0.7,1.4,69,18.4,7.8,2.7,5.3,51.8,0.0,0.0,0.0,2.4,2.9,82.3,4.8,1.1,0.4,0.7,1.4,0,34,NaN,14.6,57.9,,82.2,8.4,1.9,N/A,2.2,NaN,0,0,0,0,0,(2.11m),(107kg),College,
564,Herb Williams,Indiana Pacers,/stats/player/1006/,Ohio State,1981,14,| Center,USA,"Feb 16, 1958",1102,607,25.8,10.8,4.6,9.8,46.7,0.0,0.1,9.5,1.7,2.4,69.6,5.9,1.7,0.5,1.5,1.8,57,9.4,2.7,1.1,2.3,46.9,0.0,0.0,0.0,0.5,0.7,73.8,1.4,0.3,0.2,0.4,0.4,0,27,NaN,16.0,48.6,,68.8,8.0,0.8,0.3,2.9,NaN,0,0,0,0,0,(2.08m),(110kg),College,
565,Jeff Lamp,Portland Trail Blazers,/stats/player/77332/,Virginia,1981,15,| Guard,USA,"Mar 09, 1959",291,3,11.9,5.1,2.1,4.4,47.0,0.0,0.2,22.2,0.9,1.1,84.1,1.5,0.9,0.4,0.0,0.8,12,7.1,2.3,1.1,2.7,40.6,0.1,0.3,33.3,0.1,0.2,50.0,0.3,0.7,0.1,0.0,0.5,0,33,NaN,18.2,54.9,,86.5,4.2,2.0,0.7,0.1,NaN,0,0,0,0,0,(1.98m),(88kg),College,
566,Darnell Valentine,Portland Trail Blazers,/stats/player/78395/,Kansas,1981,16,| Guard,USA,"Feb 03, 1959",620,345,23.2,8.7,3.2,7.4,43.7,0.1,0.3,26.1,2.2,2.8,78.7,2.1,5.0,1.5,0.1,2.0,26,21.5,12.0,4.4,9.5,46.0,0.0,0.1,50.0,3.2,3.7,88.4,1.9,6.8,1.5,0.2,2.2,0,32,NaN,15.6,50.3,,68.2,3.7,5.3,2.9,0.2,NaN,0,0,0,0,0,(1.88m),(84kg),College,
567,Kevin Loder,Kansas City Kings,/stats/player/77401/,Alabama State,1981,17,| Forward,USA,"Mar 15, 1959",148,26,14.1,5.9,2.5,5.3,46.1,0.0,0.2,26.1,0.9,1.4,69.5,2.3,1.2,0.5,0.3,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,23.3,51.5,,76.7,7.8,N/A,N/A,N/A,NaN,0,0,0,0,0,(1.98m),(93kg),College,
568,Ray Tolbert,New Jersey Nets,/stats/player/78348/,Indiana,1981,18,| Forward,USA,"Sep 10, 1958",261,2,10.7,3.6,1.5,3.1,49.5,0.0,0.0,0.0,0.5,1.0,54.4,2.3,0.5,0.3,0.4,0.8,5,6.6,2.0,0.6,1.0,60.0,0.0,0.0,0.0,0.8,1.6,50.0,1.0,0.2,0.8,0.0,0.0,0,35,NaN,12.2,58.8,,74.0,6.4,1.4,0.7,1.1,NaN,0,0,0,0,0,(2.05m),(102kg),College,
569,Mike McGee,Los Angeles Lakers,/stats/player/77530/,Michigan,1981,19,| Forward,USA,"Jul 29, 1959",520,136,17.8,9.6,4.0,8.2,48.7,0.6,1.7,35.3,0.9,1.6,59.7,2.1,1.2,0.7,0.1,1.2,68,12.3,7.1,3.0,5.9,50.3,0.3,0.9,34.4,0.9,1.5,61.2,1.6,0.8,0.3,0.0,0.8,0,30,NaN,24.4,51.5,,67.5,3.9,1.2,1.5,0.0,NaN,0,0,0,0,0,(1.96m),(86kg),College,
570,Larry Nance,Phoenix Suns,/stats/player/77685/,Clemson,1981,20,| Forward,USA,"Feb 12, 1959",920,795,33.4,17.1,6.9,12.7,54.6,0.0,0.1,14.5,3.2,4.2,75.5,8.0,2.6,0.9,2.2,1.9,68,35.8,15.7,6.5,12.0,54.1,0.0,0.0,0.0,2.8,3.8,74.2,7.9,2.4,0.9,2.1,1.6,3,31,NaN,15.9,57.5,,69.0,7.6,1.5,1.1,0.9,NaN,3 All-Defensive Team,0,0,0,0,(2.08m),(93kg),College,
571,Alton Lister,Milwaukee Bucks,/stats/player/175/,Arizona State,1981,21,| Center-Forward,USA,"Oct 01, 1958",953,582,19.9,6.6,2.6,5.1,51.2,0.0,0.0,11.1,1.3,2.2,59.7,6.3,1.0,0.4,1.5,1.5,87,19.7,7.1,2.8,5.5,50.5,0.0,0.0,0.0,1.6,2.4,64.0,5.8,0.8,0.4,1.6,1.4,0,26,NaN,15.4,56.0, ,69.1,9.7,1.8,0.6,1.9,NaN,0,0,0,0,0,(2.08m),(109kg),College,
572,Franklin Edwards,Philadelphia 76ers,/stats/player/76641/,Cleveland State,1981,22,| Guard,USA,"Feb 02, 1959",296,36,15.0,6.1,2.5,5.6,44.9,0.0,0.1,3.0,1.1,1.4,79.5,1.0,2.6,0.8,0.1,1.3,21,6.3,3.5,1.2,2.5,48.1,0.0,0.0,100,1.0,1.2,84.6,0.7,1.0,0.4,0.0,0.4,0,27,NaN,24.6,52.7,,88.2,3.2,5.3,2.1,0.3,NaN,0,0,0,0,0,(1.85m),(77kg),College,
573,Charles Bradley,Boston Celtics,/stats/player/76230/,Wyoming,1981,23,| Guard,USA,"May 16, 1959",110,6,8.3,3.2,1.2,2.8,41.6,0.0,0.0,0.0,0.8,1.4,58.5,1.1,0.5,0.4,0.3,0.8,9,2.6,0.4,0.2,0.9,25.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.1,0.1,0.0,0.4,0,30,NaN,19.2,54.7,,62.6,4.5,2.5,N/A,N/A,NaN,0,0,0,0,0,(1.96m),(98kg),College,
574,Jay Vincent,Dallas Mavericks,/stats/player/78418/,Michigan State,1981,24,| Forward,USA,"Jun 10, 1959",576,225,27.0,15.2,6.1,12.8,47.4,0.0,0.0,14.8,3.0,3.9,78.4,5.5,2.0,0.7,0.3,1.9,38,25.6,12.9,4.5,10.9,41.0,0.0,0.1,0.0,3.9,4.6,86.2,4.7,1.2,0.6,0.2,1.9,0,27,NaN,22.6,49.6,,64.5,8.5,1.9,1.0,0.4,NaN,0,0,0,0,0,(2.03m),(102kg),College,
575,Tracy Jackson,Boston Celtics,/stats/player/77110/,Notre Dame,1981,25,| Guard,USA,"Apr 21, 1959",129,3,13.9,5.4,2.2,4.7,46.3,0.0,0.1,15.4,1.0,1.4,74.9,1.9,1.0,0.6,0.1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,12.9,55.7,,73.8,5.6,2.1,1.3,0.5,NaN,0,0,0,0,0,(1.98m),(93kg),College,
576,Brian Jackson,Portland Trail Blazers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1578:brian-jackson&catid=93&Itemid=342,Utah State,1981,26,Power Forward,American,2/1/1959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,23.4,50.8,,83.4,8.9,1.2,N/A,N/A,NaN,0,0,0,0,0,(2.03m),(95kg),College,
577,Howard Wood,Utah Jazz,/stats/player/78609/,Tennessee,1981,27,| Forward,USA,"May 20, 1959",42,3,8.1,3.4,1.3,2.9,45.8,0.0,0.0,0.0,0.8,1.2,65.4,1.5,0.2,0.2,0.1,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29,NaN,14.3,52.3,,80.6,6.9,1.4,1.1,0.6,NaN,0,0,0,0,0,(2.00m),(107kg),College,
578,Gene Banks,San Antonio Spurs,/stats/player/76093/,Duke,1981,28,| Forward,USA,"May 15, 1959",468,264,27.9,11.3,4.6,8.5,53.9,0.0,0.1,4.3,2.2,3.0,73.0,5.8,2.9,0.9,0.2,1.8,27,16.6,10.8,4.8,9.5,50.4,0.0,0.1,0.0,1.3,2.1,59.6,5.1,2.5,0.6,0.1,1.3,0,27,NaN,18.5,57.7,,70.9,6.8,1.8,1.4,0.3,NaN,0,0,0,0,0,(2.00m),(98kg),College,
579,Eddie Johnson,Kansas City Kings,/stats/player/698/,Illinois,1981,29,Small Forward,USA,"May 01, 1959",1199,479,27.2,16.0,6.4,13.6,47.2,0.5,1.4,33.5,2.7,3.2,84.0,4.0,2.1,0.6,0.2,1.7,89,23.8,13.1,5.1,11.8,42.9,0.8,2.4,31.0,2.2,2.6,86.4,3.5,1.1,0.5,0.1,1.1,0,29,NaN,17.2,49.4, ,75.6,9.2,2.4,1.0,0.2,NaN,0,0,0,0,0,(2.03m),(98kg),College,
580,Ed Rains,San Antonio Spurs,/stats/player/77904/,South Alabama,1981,30,| Forward,USA,"Dec 24, 1956",83,16,11.2,3.5,1.3,3.1,42.3,0.0,0.0,0.0,0.8,1.3,62.6,1.5,0.7,0.3,0.0,0.6,8,4.5,1.8,0.6,1.4,45.5,0.0,0.1,0.0,0.5,1.1,44.4,1.1,0.3,0.1,0.0,0.3,0,31,NaN,18.5,51.1,,71.0,6.3,N/A,N/A,N/A,NaN,0,0,0,0,0,(2.00m),(86kg),College,
581,Danny Ainge,Boston Celtics,/stats/player/76017/,Brigham Young,1981,31,| Guard,USA,"Mar 17, 1959",1042,508,26.6,11.5,4.5,9.5,46.9,1.0,2.5,37.8,1.6,1.9,84.6,2.7,4.0,1.1,0.1,1.5,193,25.2,9.9,3.7,8.1,45.6,0.9,2.2,39.7,1.5,1.8,82.9,2.3,3.4,0.9,0.1,1.3,1,32,NaN,24.4,51.8,,82.4,4.8,4.0,1.4,0.1,NaN,0,0,0,0,0,(1.93m),(79kg),College,
582,Mike Olliver,Chicago Bulls,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1590:mike-olliver&catid=93&Itemid=342,Lamar,1981,32,Point Guard,American,3/21/1959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,NaN,22.3,51.2,,63.9,2.4,3.0,N/A,N/A,NaN,0,0,0,0,0,(1.85m),(88kg),College,
583,Samuel Williams,Golden State Warriors,/stats/player/78569/,Arizona State,1981,33,| Forward,USA,"Mar 07, 1959",257,70,17.6,6.3,2.6,5.2,50.0,0.0,0.0,0.0,1.1,1.7,65.3,4.5,0.6,0.8,1.2,1.2,9,9.0,1.1,0.3,1.6,21.4,0.0,0.0,0.0,0.4,1.3,33.3,2.0,0.3,0.2,0.7,1.0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
584,Ken Green,Denver Nuggets,/stats/player/76868/,Texas-Pan American,1981,34,| Forward,USA,"Sep 19, 1959",7,0,10.3,4.4,1.9,3.9,48.1,0.0,0.0,0.0,0.7,1.3,55.6,3.9,0.3,0.6,0.0,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,21.0,46.7, ,73.4,11.0,2.0,1.2,0.5,NaN,0,0,0,0,0,(2.05m),(102kg),College,
585,Charlie Davis,Washington Bullets,/stats/player/76518/,Vanderbilt,1981,35,| Forward,USA,"Oct 05, 1958",415,32,12.2,5.3,2.3,5.2,45.1,0.0,0.3,17.0,0.6,0.8,73.7,2.4,0.7,0.3,0.2,0.8,49,9.7,3.2,1.3,3.3,39.8,0.0,0.2,9.1,0.6,0.7,85.7,1.8,0.4,0.2,0.0,0.8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,,,,
586,Ray Blume,Indiana Pacers,/stats/player/76189/,Oregon State,1981,36,| Guard,USA,"Sep 23, 1958",49,2,11.1,4.6,2.1,4.5,45.9,0.1,0.4,22.2,0.4,0.6,64.3,0.8,1.4,0.5,0.0,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,10.5,56.9, ,75.4,2.8,3.6,1.8,0.0,NaN,0,0,0,0,0,(1.93m),(84kg),College,
587,Al Leslie,Indiana Pacers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1971:al-leslie&catid=93&Itemid=342,Bucknell,1981,37,Shooting Guard,American,3/14/1960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,28,NaN,19.2,44.6,,82.6,5.0,N/A,2.1,N/A,NaN,0,0,0,0,0,(1.90m),(84kg),College,
588,Clyde Bradshaw,Atlanta Hawks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1973:clyde-bradshaw&catid=93&Itemid=342,DePaul,1981,38,Point Guard,American,12/28/1959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,29,NaN,9.5,48.2,,79.7,3.7,6.5,2.7,0.1,NaN,0,0,0,0,0,(1.83m),(77kg),College,
589,Harvey Knuckles,Los Angeles Lakers,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1975:harvey-knuckles&catid=93&Itemid=342,Toledo,1981,39,Small Forward,American,10/3/1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,NaN,22.0,56.1,,82.1,7.3,1.4,1.5,1.1,NaN,0,0,0,0,0,(1.98m),(84kg),College,
590,Greg Cook,New York Knicks,https://www.thedraftreview.com/index.php?option=com_content&view=article&id=1977:greg-cook&catid=93&Itemid=342,Louisiana State,1981,40,Power Forward,American,12/8/1958 - 3/19/2005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,33,NaN,9.2,56.4,,71.0,5.3,1.6,1.0,0.1,NaN,0,0,0,0,0,(2.03m),(100kg),College,
591,Claude Gregory,Washington Bullets,/stats/player/76884/,Wisconsin,1981,41,| Forward,USA,"Dec 26, 1958",25,2,12.6,5.4,2.5,5.4,45.6,0.0,0.0,0.0,0.5,1.4,33.3,3.9,0.6,0.4,0.5,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,27,NaN,20.4,45.4,,75.2,9.2,0.9,1.4,1.0,NaN,0,0,0,0,0,(2.03m),(93kg),College,
